client_id,signup_date,country,segment,acquisition_channel,account_manager_id,company_size
CL0394,2025-02-21,United States,SMB Tech,Referral,M04,Medium
CL0395,2024-05-01,United Kingdom,SMB Tech,Referral,M02,Small
CL0396,2025-02-22,Germany,SMB Tech,Organic,M03,Small
CL0397,2025-09-02,Poland,SMB Tech,Paid Partnerships,M03,Small
CL0398,2024-12-27,United Kingdom,Enterprise Services,Organic,M02,Medium
CL0399,2025-11-17,Poland,SMB Tech,Organic,M03,Small
CL0400,2025-03-27,Spain,SMB Tech,Organic,M01,Medium
CL0401,2024-05-18,Canada,SMB Tech,Referral,M03,Medium
CL0402,2025-11-28,Poland,SMB Tech,Paid Partnerships,M03,Small
CL0403,2025-11-27,France,SMB Tech,Paid Partnerships,M05,Small
CL0404,2025-09-27,Estonia,Enterprise Services,Outbound,M05,Large
CL0405,2025-12-09,Estonia,Enterprise Services,Paid Partnerships,M05,Enterprise
CL0406,2024-08-28,Cyprus,SMB Tech,Referral,M04,Small
CL0407,2024-10-25,United Kingdom,SMB Tech,Organic,M01,Small
CL0408,2025-10-15,Cyprus,Recruitment,Organic,M06,Enterprise
CL0409,2025-11-11,France,Enterprise Services,Organic,M02,Medium
CL0410,2025-05-27,Poland,Enterprise Services,Outbound,M01,Large
CL0411,2025-05-11,United States,Enterprise Services,Referral,M02,Enterprise
CL0412,2025-08-28,Netherlands,SMB Tech,Paid Partnerships,M06,Small
CL0413,2025-09-18,France,SMB Tech,Paid Partnerships,M02,Small
CL0414,2025-11-06,Singapore,Enterprise Services,Organic,M05,Enterprise
CL0415,2025-02-25,United Kingdom,SMB Tech,Organic,M04,Medium
CL0416,2024-12-01,Canada,Recruitment,Organic,M02,Small
CL0417,2025-07-17,United Kingdom,Recruitment,Organic,M01,Enterprise
CL0418,2024-12-29,France,Enterprise Services,Paid Partnerships,M02,Medium
CL0419,2025-10-01,Singapore,SMB Tech,Outbound,M05,Medium
CL0420,2024-12-19,Singapore,SMB Tech,Organic,M03,Small
CL0421,2025-04-08,GB,Enterprise Services,Organic,M04,Large
CL0422,2025-11-11,UAE,SMB Tech,Paid Partnerships,M03,Small
CL0423,2024-04-07,United States,SMB Tech,Referral,M03,Small
CL0424,2025-08-31,GB,SMB Tech,Referral,M01,Small
CL0425,2024-09-09,Canada,SMB Tech,Organic,M04,Medium
CL0426,2025-06-04,Cyprus,Enterprise Services,Organic,M03,Medium
CL0427,2025-11-25,Poland,Enterprise Services,Outbound,M05,Enterprise
CL0428,2024-12-17,GB,Gaming Studios,Paid Partnerships,M04,Medium
CL0429,2025-10-31,Canada,SMB Tech,Paid Partnerships,M05,Small
CL0430,2025-11-08,United States,SMB Tech,Paid Partnerships,M02,Small
CL0431,2024-07-30,United Kingdom,SMB Tech,Referral,M02,Medium
CL0432,2024-09-05,UAE,SMB Tech,Referral,M03,Small
CL0433,2025-09-10,Cyprus,SMB Tech,Paid Partnerships,M03,Small
CL0434,2025-10-14,Germany,SMB Tech,Outbound,M03,Medium
CL0435,2025-06-21,Cyprus,Enterprise Services,Outbound,M02,Enterprise
CL0436,2025-12-01,Cyprus,Enterprise Services,Referral,M05,Medium
CL0437,2025-06-02,France,Gaming Studios,Paid Partnerships,M03,Small
CL0438,2025-02-07,Canada,Enterprise Services,Organic,M03,Large
CL0439,2025-09-14,United Kingdom,Recruitment,Referral,M01,Enterprise
CL0440,2025-08-28,Poland,Recruitment,Outbound,M03,Large
CL0441,2025-09-30,Netherlands,Recruitment,Organic,M01,Enterprise
CL0442,2025-03-11,United States,Recruitment,Outbound,M04,Large
CL0443,2025-03-04,Canada,Gaming Studios,Organic,M02,Small
CL0444,2024-10-06,USA,SMB Tech,Organic,M01,Small
CL0445,2025-07-04,UAE,Recruitment,Referral,M02,Medium
CL0446,2025-12-07,USA,Recruitment,Outbound,M03,Large
CL0447,2025-10-20,Netherlands,SMB Tech,Organic,M03,Small
CL0448,2025-08-27,Germany,Recruitment,Referral,M01,Medium
CL0449,2024-05-10,Estonia,SMB Tech,Organic,M01,Medium
CL0450,2025-04-24,Netherlands,SMB Tech,Paid Partnerships,M03,Small
CL0451,2025-11-09,United Kingdom,SMB Tech,Outbound,M03,Medium
CL0452,2024-12-18,Cyprus,Enterprise Services,Organic,M03,Large
CL0453,2025-10-23,Germany,Enterprise Services,Organic,M06,Large
CL0454,2025-12-16,Estonia,SMB Tech,Organic,M04,Medium
CL0455,2024-12-08,United Kingdom,Recruitment,Organic,M04,Large
CL0456,2025-12-11,United Kingdom,SMB Tech,Paid Partnerships,M03,Medium
CL0457,2025-02-13,United States,SMB Tech,Referral,M06,Medium
CL0458,2025-09-19,Cyprus,SMB Tech,Organic,M04,Medium
CL0459,2024-10-29,United States,Recruitment,Outbound,M02,Medium
CL0460,2025-12-11,Poland,SMB Tech,Paid Partnerships,M04,Small
CL0461,2025-04-18,USA,SMB Tech,Referral,M03,Small
CL0462,2025-11-14,United Kingdom,SMB Tech,Paid Partnerships,M06,Small
CL0463,2025-09-02,Canada,SMB Tech,Paid Partnerships,M05,Small
CL0464,2024-10-06,Germany,SMB Tech,Referral,M04,Medium
CL0465,2024-12-06,United Kingdom,SMB Tech,Organic,M03,Small
CL0466,2025-10-14,United Kingdom,Enterprise Services,Paid Partnerships,M05,Large
CL0467,2024-12-23,United States,SMB Tech,Organic,M04,Large
CL0468,2025-11-24,Canada,SMB Tech,Outbound,M04,Small
CL0469,2025-03-03,Poland,Recruitment,Referral,M01,Medium
CL0470,2024-04-04,Netherlands,Gaming Studios,Referral,M02,Small
CL0471,2024-04-05,Singapore,SMB Tech,,M03,Small
CL0472,2025-05-14,United Kingdom,Enterprise Services,Referral,M02,Large
CL0473,2025-04-27,GB,SMB Tech,Organic,M02,Medium
CL0474,2025-09-27,UAE,SMB Tech,Paid Partnerships,M02,Medium
CL0475,2025-01-19,Netherlands,SMB Tech,Referral,M01,Small
CL0476,2025-09-26,Canada,SMB Tech,Organic,M06,Small
CL0477,2025-11-20,Poland,SMB Tech,Referral,M03,Large
CL0478,2024-11-02,United Kingdom,Enterprise Services,Referral,M02,Large
CL0479,2024-12-29,Spain,Gaming Studios,Outbound,M04,Medium
CL0480,2025-09-08,France,Recruitment,Referral,M05,Large
CL0481,2025-07-14,Estonia,Enterprise Services,Referral,M03,Medium
CL0482,2025-10-14,Germany,SMB Tech,Organic,M06,Small
CL0483,2025-08-10,United States,SMB Tech,Referral,M04,Medium
CL0484,2024-07-17,France,Gaming Studios,Referral,M02,Small
CL0485,2024-08-02,Germany,Enterprise Services,Referral,M04,Enterprise
CL0486,2025-01-18,United Kingdom,Enterprise Services,Referral,M02,Large
CL0487,2025-11-17,France,SMB Tech,Outbound,M03,Small
CL0488,2025-05-22,United Kingdom,SMB Tech,Outbound,M04,Small
CL0489,2024-11-22,UAE,SMB Tech,Referral,M03,Medium
CL0490,2025-11-29,United States,SMB Tech,Paid Partnerships,M04,Medium
CL0491,2025-08-27,USA,SMB Tech,Paid Partnerships,M02,Small
CL0492,2025-04-20,France,SMB Tech,Outbound,M04,Medium
CL0493,2025-07-24,Netherlands,SMB Tech,Organic,M05,Medium
CL0494,2025-12-06,France,Enterprise Services,Referral,M05,Large
CL0495,2025-07-13,United States,Recruitment,Referral,M02,Medium
CL0496,2025-12-16,UK,SMB Tech,Outbound,M03,Small
CL0497,2025-11-19,Germany,Enterprise Services,Paid Partnerships,M01,Small
CL0498,2025-08-22,Canada,Recruitment,Referral,M03,Medium
CL0499,2025-12-17,United States,Recruitment,Outbound,M04,Enterprise
CL0500,2024-07-05,Spain,Gaming Studios,Outbound,M05,Medium
CL0501,2025-02-10,Germany,SMB Tech,Outbound,M06,Large
CL0502,2025-11-11,Germany,SMB Tech,Paid Partnerships,M05,Small
CL0503,2025-11-10,Cyprus,SMB Tech,Paid Partnerships,M06,Small
CL0504,2025-12-15,Canada,Enterprise Services,Organic,M03,Medium
CL0505,2024-12-24,Canada,SMB Tech,Organic,M01,Medium
CL0506,2025-10-23,France,SMB Tech,Referral,M04,Small
CL0507,2025-10-30,Germany,SMB Tech,Paid Partnerships,M03,Medium
